S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
0.12999949,0.9915864,0.49053448,1.0300636,0.44497815,1.2083538,0.8275433,1.3380098,0.7594366,0.5416189,0.4723597,0.6128057,0.82427896,0.16531128,-0.045348537,-0.08952845,0.5079556,0.9881393,0.9879015,0.31042445,-0.029629596,0.3714619,0.13038545,-0.2879571,-0.75709677
0.11772866,-0.30397213,-1.0829227,-0.69553304,-0.071503826,-0.6928099,0.10217523,-0.66994966,-0.587785,-0.16871092,-0.81481785,-0.58541924,-0.99260635,-0.805655,-0.9528249,-0.5325795,-0.5941852,-0.3964013,-0.73592836,-1.7711357,-0.54857857,-0.35733983,-0.9146062,-0.48097652,-0.5673418
-0.9909324,-1.0905025,-0.730285,-0.27898875,0.34546813,-0.9350467,-0.4605613,-0.42131457,0.10010612,-0.8317372,-0.114736244,-0.18039745,-0.38280097,-0.56778497,-0.45125037,-0.57284147,-0.88561857,-0.5088912,-0.24305506,-0.10595712,-0.48222265,-0.49256045,-0.20416643,0.38246298,-0.5508814
1.9406313,2.0094157,1.6836625,1.1345857,1.7943486,1.3982742,-0.106631264,1.6715305,1.490054,2.17595,2.0321145,1.584761,2.110745,1.4004608,1.6484201,1.8800624,1.4616459,1.8171526,1.7047254,2.0657668,1.5249778,1.66582,1.4254525,2.211056,1.5263836
0.78824795,0.09330171,-0.03204474,0.5891873,0.61673576,0.3903696,0.9653278,0.54218424,-0.20380906,1.2903355,0.27271187,0.31161043,0.6454016,0.6952545,0.5235213,-0.23891847,0.6375038,0.21256212,0.93316424,0.65098536,-0.6600116,0.24715017,0.7717847,0.2568712,-0.5105811
-0.24668385,0.32901153,-0.08443069,0.07877416,0.91384906,-0.32113928,-0.06280297,0.501262,0.32590005,0.8750136,0.052171603,0.19635087,0.48923987,0.48558065,1.3708434,-0.3567756,0.29786646,-0.005692874,0.2588434,1.2247939,-0.2984565,0.060161174,0.24710484,0.50371725,0.78763867
1.5628148,1.2792814,0.9627999,1.0002635,1.0512221,0.5641554,1.0293573,1.311082,0.9596694,1.0641602,1.0063411,0.96153045,1.0815071,0.9845034,0.7432473,1.0689155,1.0852292,0.5262852,0.5568959,0.5563593,0.36859304,0.52641654,0.2563272,1.0121574,0.9646721
1.5251984,0.71011967,1.6881019,1.0059024,1.0109964,0.9542285,1.721241,1.2355058,1.2824349,1.2190069,0.55404264,0.8078988,0.60024137,1.0672448,1.5607358,0.81186504,1.0212792,1.2254763,1.4506585,1.2054788,-0.26676533,0.5289105,0.3880063,0.57372326,0.82529986
-0.63668454,-0.3578864,-0.45766217,-1.1250501,-0.3181962,0.17120384,-0.012925073,-0.37685317,-0.941643,-0.66952926,-0.57009316,-0.8206444,-1.0769158,-0.18963307,-1.1643173,-0.90956897,-1.4264697,-0.56043137,-0.22493285,-1.1105365,-1.042309,-1.2390269,-0.54127837,-1.5697092,-0.26336283
-0.6790147,-0.90167994,-0.28897092,-0.47597042,-0.2828539,-0.8521984,-0.26820505,-0.15186298,-0.372119,-0.57645476,-0.965882,-0.6869909,-0.62261796,-0.027126685,-0.4923313,-1.4419696,-0.62126136,-0.3750507,-0.48553187,0.13329265,-1.5256989,-1.3934383,-1.2901309,-0.82102037,-1.0053693
