S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
0.12999949,0.9915864,0.46884,1.0300636,0.44497815,1.2083538,0.8275433,1.3380098,0.7594366,0.5416189,0.4723597,0.6128057,0.82427896,0.16531128,-0.045348537,-0.08952845,0.5079556,0.9881393,0.9879015,0.31042445,-0.029629596,0.3714619,0.200117,-0.2879571,-0.75709677
0.11772866,0.2575479,-0.74828,-0.13085303,-0.28452382,-0.56307716,-0.6365148,-0.66994966,-0.58484227,-0.24474192,-0.81481785,-0.58541924,-0.99260635,-1.242235,-0.69499487,-0.27474946,-0.5941852,-1.0731913,-0.13396837,-2.0985756,-1.0337485,-0.35733983,-0.898838,-0.7780965,-0.5673418
-0.9909324,-1.3472954,-1.61799,-0.35205674,0.70022816,-0.20853365,-0.36100128,-0.42131457,0.17903912,-1.8584372,-0.114736244,-0.18039745,-0.38280097,-0.18722496,-0.42230338,-0.54389447,-0.88561857,0.1837988,-0.44778505,-0.2676371,-0.72039265,-0.49256045,-0.203943,-0.28552702,-0.5508814
1.9406313,1.9837756,1.04251,0.95627577,1.1018987,1.4565611,0.7709587,1.6715305,0.81483394,2.091651,2.0321145,1.584761,2.110745,1.6971109,1.9526601,2.1843024,1.4616459,0.6565627,1.5397854,2.4826467,0.41984785,1.66582,1.30826,1.7457359,1.5263836
0.78824795,0.2053097,0.309855,0.6248883,0.94427574,-0.31061143,0.46115282,0.54218424,-0.29265007,1.4765556,0.27271187,0.31161043,0.6454016,1.1977445,0.9130113,0.15057154,0.6375038,0.8736021,1.0234592,1.0322954,-0.4301716,0.24715017,0.5212,0.45094118,-0.5105811
-0.24668385,0.45054752,-0.30555,0.51289416,1.537819,0.6111574,0.108297035,0.501262,0.75265,0.8460496,0.052171603,0.19635087,0.48923987,0.25507066,1.0381135,-0.68950564,0.29786646,0.14311713,0.3953634,1.4692839,-0.7430465,0.060161174,0.652492,0.13056726,0.78763867
1.5628148,1.3164674,0.59006,0.8876234,1.2957621,1.3172274,1.0071423,1.311082,1.0995895,1.8056402,1.0063411,0.96153045,1.0815071,1.2093834,0.80080927,1.1264775,1.0852292,-0.118406855,0.6562729,0.59569526,1.103911,0.52641654,0.41869,0.5237174,0.9646721
1.5251984,1.1371046,2.093223,0.80241246,0.9926813,0.9541875,1.158911,1.2355058,1.6493549,0.9412068,0.55404264,0.8078988,0.60024137,1.5335748,1.6485858,0.899715,1.0212792,1.8434663,1.8028984,1.2842138,-0.26078534,0.5289105,0.14444,0.58910627,0.82529986
-0.63668454,0.041247588,0.78251,-0.65260005,-0.3677532,-0.18171416,-0.18343507,-0.37685317,-0.568753,-0.6653809,-0.57009316,-0.8206444,-1.0769158,-0.5766631,-1.1678687,-0.91312045,-1.4264697,-0.040671345,0.12038715,-1.0115154,-0.880619,-1.2390269,-0.87071,-0.70848924,-0.26336283
-0.6790147,-0.76214993,0.073166,0.16659959,-0.19315592,-1.3439684,-0.747165,-0.15186298,-0.951709,-0.7206947,-0.965882,-0.6869909,-0.62261796,-0.50398666,-0.2866613,-1.2362996,-0.62126136,-0.14905,-0.22310189,0.37283263,-1.6309888,-1.3934383,-0.74057,-0.7001103,-1.0053693
-0.90002966,0.55165345,0.363803,0.8613369,0.37651983,0.13544075,-0.20162101,-0.13848575,0.17639321,1.2717887,0.6974385,-0.13704887,0.17687072,-0.21893457,-0.22970005,-1.0316343,0.22011264,-1.0310304,0.52847875,-1.3182173,-0.8739466,-0.56268466,-0.21219,-0.89282215,-0.9956457
-0.28236243,-1.0427615,-0.767853,0.58733374,0.34900174,0.5479535,-0.31888607,-0.098378636,-0.23150873,-0.74379427,0.09788307,-0.5363041,-0.28775102,-0.88640756,-0.48971808,-0.5600622,-0.44451484,-1.6453061,-0.20043147,-0.42503688,-0.24631621,-0.94544596,-0.04834,-1.1909338,-0.5807075
-1.2490016,-1.194058,-1.64603,-0.6684588,-0.74552644,-0.71714575,-1.0315203,-2.011313,-0.84365255,-1.3976815,-0.711515,-1.366941,-1.6250557,-1.7072821,-1.1723436,-0.98576397,-1.7749548,-1.3878869,-0.9047431,-1.4148436,-1.2942306,-1.0282707,-0.79569,-2.493167,-1.0643455
-2.86712,-2.377431,-2.832986,-1.0426297,-1.3885259,-2.540035,-1.7181763,-1.9019945,-2.787102,-1.9330547,-1.6527879,-1.6618413,-1.6246544,-3.2414527,-0.6667172,-1.6178588,-1.8800899,-2.1127565,-1.7729653,-1.5106237,-1.8087183,-1.2018157,-0.82438,-1.6615795,-1.775218
-1.0477358,-1.5413591,-1.441226,-0.26785547,-0.8961285,-0.4071192,-0.9845716,-0.6332306,-0.98070086,-0.86145515,-0.58811796,-0.7771603,-0.44198698,-0.102387086,-0.848015,-0.3447076,-0.4241222,-1.4141908,-1.0026648,-0.3287414,0.95627207,-0.9983747,0.32495,-0.8850213,-0.93078226
-1.0467806,0.3710428,0.05957,-0.35820302,-0.030151157,-0.7755478,-0.6574752,-0.42462718,-0.33027333,0.42600808,-0.5579074,-0.6788087,-0.7249989,-1.4075599,0.66130656,-0.31724495,-0.93378044,-0.5363201,-0.48333058,-0.52061534,-0.9482875,-1.0010383,-0.18202,-0.91670174,-0.9416188
-1.5316067,-1.462868,-0.427662,-1.1059027,-0.4853774,-1.4611178,-1.0883645,-1.3755484,-0.79127455,-1.0223842,-0.52301735,-1.1572781,-1.033646,-1.2137139,-1.2121751,-0.04156361,-1.1939694,-0.50317634,-1.4359541,-0.53240836,0.6907949,-0.51353366,-0.06965,-0.27960807,-1.0145244
-1.4707538,-1.2505351,-0.837582,-1.2735092,-0.34799603,-0.5814929,-1.1324071,-0.5525838,-0.31968385,-0.6663667,-1.0431738,-1.0416963,-0.45749345,-0.61427987,-1.480145,-0.8827319,-0.51804114,-2.1511088,-1.1960042,-0.47114465,-0.75519544,-0.5649602,-0.372464,-1.1580354,-0.56846524
0.08692711,0.063299015,0.60066,0.196323,-0.18479586,0.64527685,0.3285293,0.29146597,0.71996904,0.65992547,1.0923063,-0.013581435,-0.5659094,0.48709396,1.2050063,1.2006604,0.6147399,0.32868898,0.39063552,0.30722934,0.59413845,0.72464955,0.932906,0.49269152,0.6337411
-0.21085252,-0.44887736,-0.2775679,-0.48871082,0.9021893,0.6242843,0.4726535,0.14532683,0.33336666,0.06590419,0.38082594,0.383072,0.06064355,0.11335922,0.6650657,0.246244,0.35098034,0.05747619,-0.06904476,1.3802261,-0.34306934,0.110077806,0.009931,0.015789705,-0.21422559
-1.2690237,-0.822446,-0.92978,-1.1466491,-0.6934206,-1.0825087,-1.0878102,-0.8986874,-0.1591389,-0.58907056,-1.2186731,-1.0765305,-0.35261753,-0.38928443,0.32429695,-0.1002547,-0.9832678,-2.0402749,-0.67413515,-0.5719512,-1.1533364,-0.86637897,-0.90029,-1.2815701,-1.3930973
