S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
0.12999949,0.9915864,0.49053448,1.0300636,0.44497815,1.2083538,0.8275433,1.3380098,0.7594366,0.5416189,0.4723597,0.6128057,0.82427896,0.16531128,-0.045348537,-0.08952845,0.5079556,0.9881393,0.9879015,0.31042445,-0.029629596,0.3714619,0.13038545,-0.2879571,-0.75709677
0.18240567,-1.2153021,-1.0829227,-1.250563,-0.071503826,-0.5660199,-0.93363476,-0.29736963,-0.884905,-0.16871092,-0.81481785,-0.58541924,-0.70109636,-0.256315,-0.9528249,-0.5325795,-1.4580852,-0.3964013,-0.73592836,-1.7711357,-0.54857857,-0.49428985,-1.0912463,-0.46303654,-0.60778177
-1.1311524,-0.7013525,-0.730285,-0.7050787,0.34546813,-0.28746665,-1.0289914,-0.7930146,-0.5678839,-0.8317372,-0.114736244,-0.18039745,-0.709461,-0.86549795,-0.45125037,-0.57284147,-0.3351586,-0.5088912,-0.24305506,-0.10595712,-0.48222265,-0.7317634,0.13560358,1.2354729,-0.6029444
2.211321,1.2731556,1.6836625,1.1970658,1.7943486,2.131781,0.30563873,0.76907057,1.024734,2.17595,2.0321145,1.584761,2.027408,1.6213639,1.6484201,1.8800624,1.0170559,1.8171526,1.7047254,2.0657668,1.5249778,1.5292801,1.3032025,1.7400459,1.6656836
0.693173,-0.36648828,-0.03204474,1.0825874,0.61673576,-0.22177042,0.65522284,1.5298742,-0.009739059,1.2903355,0.27271187,0.31161043,0.35026157,0.7896045,0.5235213,-0.23891847,1.1601539,0.21256212,0.93316424,0.65098536,-0.6600116,0.42906016,1.0717347,0.7610212,-0.48886806
-0.9599739,-0.8730885,-0.08443069,-0.30340254,0.91384906,0.18440743,-0.26485297,0.42469198,-0.047249966,0.8750136,0.052171603,0.19635087,0.67348987,0.33710065,1.3708434,-0.3567756,0.12314647,-0.005692874,0.2588434,1.2247939,-0.2984565,-0.085728824,-0.121735156,0.32763726,0.77265466
1.3919848,1.6207414,0.9627999,0.8404234,1.0512221,1.1773074,0.5187023,1.36481,0.47122943,1.0641602,1.0063411,0.96153045,0.705357,0.66591537,0.7432473,1.0689155,2.2975593,0.5262852,0.5568959,0.5563593,0.36859304,0.6350365,0.4553472,1.3861474,0.9024811
1.5361884,1.0256797,1.6881019,1.0726515,1.0109964,0.5872675,1.174294,1.6823758,1.297818,1.2190069,0.55404264,0.8078988,0.69036335,1.2452167,1.5607358,0.81186504,1.4042691,1.2254763,1.4506585,1.2054788,-0.26676533,0.7431305,0.5283763,0.83486325,0.90004486
-0.37212455,-0.8082364,-0.45766217,-0.34889203,-0.3181962,-0.5546042,0.6777849,-0.81847317,-0.08042301,-0.66952926,-0.57009316,-0.8206444,-0.9524557,-0.06872457,-1.1643173,-0.90956897,-1.3287197,-0.56043137,-0.22493285,-1.1105365,-1.042309,-1.1683774,-0.67838836,-1.5585393,-0.20954882
-0.9812547,0.08259006,-0.28897092,-0.19397041,-0.2828539,-0.76437837,-0.62625504,-0.322163,-0.251209,-0.57645476,-0.965882,-0.6869909,-1.2089679,-0.4078067,-0.4923313,-1.4419696,-1.6261814,-0.3750507,-0.48553187,0.13329265,-1.5256989,-0.64695836,-1.3119788,-1.0491084,-1.1282693
-0.9616476,0.36314446,0.18490717,0.6071629,0.60439986,0.08408374,-0.23550502,-0.84703577,0.091152206,0.4087387,0.6974385,-0.13704887,-0.10832928,-0.68145955,-0.10450004,-0.90643436,-0.08741837,-0.27280036,0.30494875,-1.0951972,-0.32817063,-0.25078464,-0.318308,-1.5382981,-1.1223258
-0.22204942,-1.2043974,-0.60170305,0.57608074,-0.013858251,0.16114348,-0.28127906,0.42305136,-0.5807117,0.05363575,0.09788307,-0.5363041,0.278079,0.07334595,-0.49596158,-0.5663057,-0.9229664,-0.9083461,0.008638527,-1.1564669,-0.54896164,-1.1431824,-0.38814652,-1.1019178,-0.68037147
-1.4399817,-0.91425395,-1.6585282,-1.3261788,-1.3347565,-0.8645457,-1.3102002,-2.224603,-1.2697326,-1.0681715,-0.711515,-1.366941,-1.2481657,-0.48492202,-1.7253237,-1.538744,-2.0523148,-1.0404769,-1.2082831,-1.9665736,-1.0400405,-0.43236178,-0.96594704,-2.179187,-1.1384294
-2.5957902,-0.925441,-1.5261185,-1.7943297,-1.8111259,-1.979015,-2.2135663,-2.4414645,-2.721472,-1.5129247,-1.6527879,-1.6618413,-1.8778344,-2.1528426,-1.1857271,-2.1368687,-2.84707,-2.1427167,-1.0072253,-2.0873437,-1.4151183,-0.8078157,-1.174005,-1.1650895,-1.891918
-1.6523358,-1.2745842,-1.138796,-1.0926415,-1.2616885,-0.07916921,-0.9744276,-0.3874206,-0.64260686,-0.6344752,-0.58811796,-0.7771603,-0.17488699,-0.24122308,-0.858899,-0.3555916,0.8037678,-0.85917074,-0.7516448,-0.5065114,0.047332053,-1.7794308,-0.44208923,-0.90022535,-0.9018643
-0.6512805,-0.28870723,-0.09814308,-0.65854,-0.64418114,-0.9794778,-0.82292516,-0.14604719,-0.6996533,-0.031241917,-0.5579074,-0.6788087,-0.6616009,-0.08091185,-0.27253345,-1.2510849,-1.8595305,-0.60385007,-0.8467606,-0.7056753,-0.99334747,0.35228163,-0.48587245,-1.6497717,-0.8232788
-1.5597497,-1.804996,-0.93493206,-0.7098326,-1.0175074,-1.2364078,-0.7119845,-0.9842383,-0.19018454,-1.0517051,-0.52301735,-1.1572781,-1.048975,-1.3122629,-1.1119651,0.05864639,-1.0364393,-0.7737963,-1.586874,-0.85755837,-0.17213512,-1.1075037,-0.62575645,-0.92134107,-0.9894064
