S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
0.12999949,0.9915864,0.49053448,1.0300636,0.44497815,1.2083538,0.8275433,1.3380098,0.7594366,0.5416189,0.4723597,0.6128057,0.82427896,0.16531128,-0.045348537,-0.08952845,0.5079556,0.9881393,1.00067,0.31042445,-0.029629596,0.3714619,0.13038545,-0.2879571,-0.75709677
0.11772866,-0.30397213,-1.2959428,-0.69553304,-0.66366685,-0.17797989,-0.08602477,-1.6866297,-0.587785,-0.16871092,-0.81481785,-1.0219992,-0.99260635,-0.611075,-0.9528249,-0.5325795,-0.48027518,-1.2711912,-0.800238,-1.7711357,-0.54857857,-0.35733983,-1.5365062,-0.24512653,-0.002661784
-0.9909324,-1.0905025,-0.37552497,-0.27898875,-0.06802687,-0.020764646,-0.11354129,-1.0328046,0.10010612,-0.8317372,-0.114736244,0.20016255,-0.38280097,-0.054544956,-0.45125037,-0.57284147,-0.25759858,-1.0662313,-0.648569,-0.10595712,-0.48222265,-0.49256045,-0.54750646,-0.09440704,-0.6239494
1.9406313,2.0094157,0.99121255,1.1345857,1.2834187,1.8312211,0.41995874,0.83827055,1.490054,2.17595,2.0321145,1.8814111,2.110745,1.0517008,1.6484201,1.8800624,1.4072958,0.71408266,1.134811,2.0657668,1.5249778,1.66582,1.0329725,2.021246,1.3480736
0.78824795,0.09330171,0.29549527,0.5891873,0.30920574,0.11388058,0.6699528,0.15056426,-0.20380906,1.2903355,0.27271187,0.81410045,0.6454016,0.8994545,0.5235213,-0.23891847,1.3487939,1.2276021,0.757671,0.65098536,-0.6600116,0.24715017,0.5877447,0.8306812,-0.47488004
-0.24668385,0.32901153,0.53953934,0.07877416,1.200399,0.24968742,-0.11065297,0.55113197,0.32590005,0.8750136,0.052171603,-0.034159124,0.48923987,0.6783407,1.3708434,-0.3567756,-0.15159354,0.3086371,0.54832,1.2247939,-0.2984565,0.060161174,0.11013484,0.73476726,1.2217587
1.5628148,1.2792814,1.2073399,1.0002635,2.031112,1.2636874,0.71008236,2.17462,0.9596694,1.0641602,1.0063411,1.1864104,1.0815071,1.1594733,0.7432473,1.0689155,1.0130493,-0.39879486,1.25082,0.5563593,0.36859304,0.52641654,1.0688073,1.1430475,0.85203207
1.5251984,0.71011967,1.6697868,1.0059024,0.60081637,0.5241475,0.92950094,1.1577659,1.2824349,1.2190069,0.55404264,1.2742288,0.60024137,1.1880148,1.5607358,0.81186504,1.2581992,1.8855393,1.03079,1.2054788,-0.26676533,0.5289105,0.1838963,0.81050325,0.62180985
-0.63668454,-0.3578864,-0.50721914,-1.1250501,-0.2596062,-0.21926417,0.18218494,0.033847835,-0.941643,-0.66952926,-0.57009316,-1.2076744,-1.0769158,-0.041353073,-1.1643173,-0.90956897,-1.4478797,0.72854865,0.56831,-1.1105365,-1.042309,-1.2390269,-0.20477836,-1.8365193,0.20908718
-0.6790147,-0.90167994,-0.19927293,-0.47597042,-0.14167391,-0.1436564,-0.48496503,0.06712703,-0.372119,-0.57645476,-0.965882,-1.1638509,-0.62261796,-0.23336669,-0.4923313,-1.4419696,-0.83592135,-0.6315,-0.15042,0.13329265,-1.5256989,-1.3934383,-1.6119509,-1.2078503,-0.36279926
-0.90002966,0.45480344,-0.042972833,0.7143869,0.33264384,-0.07991625,0.098948986,0.30736825,0.12503621,0.4087387,0.6974385,-0.08492386,0.17687072,-0.63946957,-0.10450004,-0.90643436,0.5728076,-0.6644044,0.470704,-1.0951972,-0.32817063,-0.56268466,0.001396003,-1.0129582,-0.8486957
-0.28236243,-0.73402745,-0.23884303,0.066843756,0.50457716,0.89813346,-0.38005206,-0.3032532,-0.61831874,0.05363575,0.09788307,-0.9239841,-0.28775102,-0.58860457,-0.49596158,-0.5663057,-0.89336086,-1.6933491,0.53157545,-1.1564669,-0.54896164,-0.94544596,-0.60554106,-1.0106508,-0.060217467
