S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
0.12999949,0.9915864,0.49053448,1.0300636,0.44497815,1.2083538,0.8275433,1.3380098,0.753217,0.5416189,0.4723597,0.6128057,0.82427896,0.16531128,-0.045348537,-0.08952845,0.5079556,0.9881393,0.9879015,0.31042445,-0.029629596,0.3714619,0.13038545,-0.2879571,-0.75709677
0.11772866,-0.30397213,-1.0829227,-1.509053,-0.071503826,-0.60645986,-0.07183477,-0.66994966,-0.265233,-0.16871092,-1.4929679,-0.020739224,-0.70109636,-0.805655,-1.4007589,-0.5325795,-1.2160852,-0.3666643,-0.7149594,-2.4283166,-0.54857857,-0.33637083,-1.3180772,-0.48097652,-0.5673418
-0.9909324,-1.0905025,-0.730285,0.30853125,0.34546813,-0.33952963,-0.4340693,-0.42131457,-0.423193,-0.8317372,0.081633754,-0.25346544,-0.709461,-0.56778497,-1.2376103,-0.57284147,-1.2289586,-0.5790462,-0.37904507,-0.045577117,-0.48222265,-0.62855047,-1.3925464,0.38246298,-0.5508814
1.9406313,2.0094157,1.6836625,0.68664575,1.7943486,2.2710812,0.59264875,1.6715305,1.814978,2.17595,1.8705045,1.406451,2.027408,1.4004608,2.1314612,1.8800624,1.0691658,1.6987027,1.71443,1.9138614,1.5249778,1.6755246,1.7580335,2.211056,1.5263836
0.78824795,0.09330171,-0.03204474,0.83634735,0.61673576,-0.20005742,0.49685383,0.54218424,-0.556662,1.2903355,0.58331186,0.34731144,0.35026157,0.6952545,1.1171563,-0.23891847,0.45346382,0.08907211,0.07473424,0.103155345,-0.6600116,-0.61127985,1.3393147,0.2568712,-0.5105811
-0.24668385,0.32901153,-0.08443069,0.5352042,0.91384906,0.16942343,0.54241705,0.501262,-0.212934,0.8750136,-0.1847084,0.6304709,0.67348987,0.48558065,0.39807943,-0.3567756,0.16089647,0.41782713,0.4017334,1.130804,-0.2984565,0.20305118,0.46263084,0.50371725,0.78763867
1.5628148,1.2792814,0.9627999,0.43273342,1.0512221,1.1151164,0.89450235,1.311082,0.355459,1.0641602,0.71753115,0.8488904,0.705357,0.9845034,1.5387772,1.0689155,1.8977093,0.6936951,0.3459159,0.056569282,0.36859304,0.3154365,1.0371432,1.0121574,0.9646721
1.5251984,0.71011967,1.6881019,1.4138025,1.0109964,0.6620125,0.955421,1.2355058,1.467717,1.2190069,0.88845265,0.6044088,0.69036335,1.0672448,1.7602558,0.81186504,0.81716913,1.0194063,1.4502447,1.5394751,-0.26676533,0.52849675,0.1889413,0.57372326,0.82529986
-0.63668454,-0.3578864,-0.45766217,-0.43048003,-0.3181962,-0.5007902,0.28901494,-0.37685317,-0.488656,-0.66952926,-0.13458316,-0.34819436,-0.9524557,-0.18963307,-1.2826388,-0.90956897,-1.0899696,-0.83834136,0.13501716,-0.31507644,-1.042309,-0.87907696,-0.43810895,-1.5697092,-0.26336283
-0.6790147,-0.90167994,-0.28897092,-0.46649972,-0.2828539,-0.8872784,-0.10459504,-0.15186298,-1.389828,-0.57645476,-0.99302596,-0.044420906,-1.2089679,-0.027126685,-1.4156714,-1.4419696,-0.9430813,0.0879493,-0.000981878,0.59069866,-1.5256989,-0.90888834,-1.1948308,-0.82102037,-1.0053693
-0.90002966,0.45480344,0.18490717,0.5106869,0.60439986,-0.042596255,-0.054671012,-0.13848575,-0.351592,0.4087387,0.111078486,0.009901133,-0.10832928,-0.27105957,0.74905694,-0.90643436,0.22886664,-0.5533104,0.014848751,-1.9716573,-0.32817063,-0.85278464,0.632672,-0.85893816,-0.9956457
