S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
0.12999949,0.9915864,0.49053448,1.0300636,0.44497815,1.2083538,0.8275433,1.3380098,0.7594366,0.5416189,0.4723597,0.6128057,0.82427896,0.16531128,-0.045348537,-0.08952845,0.5049227,1.02209,0.9879015,0.31042445,0.02607,0.3714619,0.13038545,-0.2879571,-0.75709677
0.11772866,-0.56188214,-1.0829227,-1.373683,-0.071503826,-0.001339881,-0.6365148,-0.66994966,-0.587785,0.67328907,-1.1119379,-0.58541924,-1.4291864,-0.805655,-1.2499449,-0.5325795,-0.4524243,-0.270551,-0.73592836,-2.4492858,-0.60411,-0.35733983,-0.6230962,0.33477348,-0.5673418
-0.9909324,-0.8486025,-0.730285,-0.08261875,0.34546813,-0.36053464,-0.36100128,-0.42131457,0.10010612,-0.91093725,-0.7827262,-0.18039745,-0.002240959,-0.56778497,-1.1192404,-0.57284147,-0.704307,-1.41996,-0.24305506,0.090412885,0.03238,-0.49256045,-0.53082645,-0.06932803,-0.5508814
1.9406313,2.5372155,1.6836625,0.9729758,1.7943486,1.9534712,0.7709587,1.6715305,1.490054,1.741613,1.5667945,1.584761,2.407395,1.4004608,1.1831001,1.8800624,0.072889,1.804481,1.7047254,1.9041568,0.71245,1.66582,1.3421155,2.0887089,1.5263836
0.78824795,0.3926317,-0.03204474,0.8997873,0.61673576,-0.18606942,0.46115282,0.54218424,-0.20380906,1.2039956,0.46678188,0.31161043,1.1478915,0.6952545,0.7175913,-0.23891847,0.968989,0.91644,0.93316424,0.96158535,-0.04231,0.24715017,0.4766447,0.019145182,-0.5105811
-0.24668385,0.31998482,-0.08443069,-0.15810584,0.91384906,0.6185274,0.108297035,0.501262,0.32590005,0.8403136,-0.3209784,0.19635087,0.25872988,0.48558065,0.9976934,-0.3567756,0.4179,-0.025234,0.2588434,0.98791397,-0.94507,0.060161174,0.43135485,1.1071032,0.78763867
1.5628148,1.6078814,0.9627999,0.71145344,1.0512221,1.0646674,1.0071423,1.311082,0.9596694,0.3909502,0.5179011,0.96153045,1.3063871,0.9845034,0.25480726,1.0689155,1.148648,0.997686,0.5568959,0.26754928,0.526488,0.52641654,-0.11982278,0.4611764,0.9646721
1.5251984,0.76148564,1.6881019,1.3403125,1.0109964,0.3837775,1.158911,1.2355058,1.2824349,1.0797188,0.56942565,0.8078988,1.0665714,1.0672448,1.5761188,0.81186504,1.60128,0.763635,1.4506585,1.5398887,0.06333,0.5289105,0.47812828,0.5351002,0.82529986
-0.63668454,-0.4429484,-0.45766217,-0.68954,-0.3181962,-0.08215416,-0.18343507,-0.37685317,-0.941643,-0.17944928,0.29112685,-0.8206444,-1.4639458,-0.18963307,-0.30309725,-0.90956897,-1.22568,-0.1287406,-0.22493285,-0.6750264,-1.342668,-1.2390269,-0.41681835,-0.9189852,-0.26336283
-0.6790147,-0.7405899,-0.28897092,-0.5031144,-0.2828539,-0.121808395,-0.747165,-0.15186298,-0.372119,-0.9006047,-0.84497196,-0.6869909,-1.099478,-0.027126685,-0.3714213,-1.4419696,-0.987833,0.02104,-0.48553187,0.10614864,-1.253268,-1.3934383,-1.8764808,-0.8877003,-1.0053693
-0.90002966,0.38146344,0.18490717,0.12802689,0.60439986,0.23103374,-0.20162101,-0.13848575,0.12503621,0.4241087,0.6635545,-0.13704887,0.22899573,-0.27105957,-0.13838405,-0.90643436,-0.285873,0.696394,0.30494875,-1.6815573,-1.10603,-0.56268466,-0.29255798,-1.1238682,-0.9956457
-0.28236243,-0.26239744,-0.60170305,-0.65400625,-0.013858251,0.6816335,-0.31888607,-0.098378636,-0.61831874,0.5582997,0.13549006,-0.5363041,-0.675431,-0.49872756,-0.4583546,-0.5663057,0.24513,-1.027296,0.008638527,-1.8773168,0.0063,-0.94544596,-0.038816505,-0.2418848,-0.5807075
-1.2490016,-1.1059239,-1.6585282,-1.3698384,-1.3347565,-0.16791572,-1.0315203,-2.011313,-0.99105257,-0.9541015,-0.990195,-1.366941,-1.9175457,-1.4147921,-2.0040038,-1.538744,-2.0413,-1.05247,-1.2082831,-1.971323,-1.22081,-1.0282707,-0.766317,-1.215051,-1.0643455
-2.86712,-1.617951,-1.5261185,-1.5082597,-1.8111259,-1.845665,-1.7181763,-1.9019945,-2.2260819,-1.5001747,-2.1481779,-1.6618413,-2.4474345,-2.4186726,-1.6811172,-2.1368687,-2.58668,-1.66284,-1.0072253,-2.4196239,-1.59568,-1.2018157,-1.319395,-1.4027195,-1.775218
-1.0477358,-1.5221771,-1.138796,-1.3852855,-1.2616885,0.55284077,-0.9845716,-0.6332306,-0.65275085,-0.8618352,-0.5779739,-0.7771603,-0.025166989,-0.51920707,-0.848755,-0.3555916,-0.47466,-1.33143,-0.7516448,-0.9919314,0.22925,-0.9983747,0.016090759,0.032862667,-0.93078226
-1.0467806,-0.18929522,-0.09814308,-0.24885203,-0.64418114,-0.9231588,-0.6574752,-0.42462718,-0.53420336,-0.03334392,-0.72335744,-0.6788087,-1.0544089,-1.0781499,-0.43798345,-1.2510849,-0.89967,0.00538,-0.8467606,-0.5400053,-1.267913,-1.0010383,-0.33253443,-0.51319474,-0.9416188
-1.5316067,-1.807916,-0.93493206,-1.2979727,-1.0175074,-1.4251077,-1.0883645,-1.3755484,-0.56656456,-0.96641416,-0.14663737,-1.1572781,-1.0506359,-1.1967239,-0.7355851,0.05864639,-0.90399,-0.288539,-1.586874,-1.2383283,0.321527,-0.51353366,-0.54649246,-0.83489907,-1.0145244
-1.4707538,-0.6437652,-0.43040597,0.1775808,-0.521866,-0.8373629,-1.1324071,-0.5525838,0.021726147,-0.7700767,-1.0298758,-1.0416963,-0.16723345,-0.9045399,-1.2808869,-0.6967719,-1.44613,-0.29189,-0.81320417,-0.013864633,-0.50515,-0.5649602,-0.7206396,-1.9685534,-0.56846524
0.08692711,0.334959,0.003603908,0.24163102,-0.20513085,0.42682382,0.3285293,0.29146597,0.51320905,0.26163548,1.4400762,-0.013581435,-0.99798936,0.91917396,0.8253962,0.4732804,1.07692,-0.0101169,0.10960552,0.5311743,1.199217,0.72464955,0.9884671,-0.013988472,0.6337411
-0.21085252,-0.45791948,-0.04017579,-0.1363068,0.6516893,0.10119434,0.4726535,0.14532683,0.22206666,0.13341129,0.14204595,0.383072,-0.52402646,0.6980292,0.3007157,0.120674,0.256932,0.9264031,-0.06223686,0.6368301,-0.449623,0.110077806,-0.19498582,-0.5415893,-0.21422559
-1.2690237,-0.56971604,-0.63067335,-0.9472151,-0.61510057,-1.5226487,-1.0878102,-0.8986874,-0.4302789,-1.2273606,-1.4686831,-1.0765305,-0.09478753,-0.6471144,-0.23197304,-0.4065147,-1.033287,-0.24818,-0.61655516,-0.7680472,-1.61718,-0.86637897,-0.99594337,-1.2793901,-1.3930973
-1.1659434,-0.6892458,-0.8251886,-0.003266084,-1.0274618,-1.0959928,-0.86634106,-1.1768036,-0.66459674,-1.4059724,-0.42678937,-1.7327055,-1.2238767,-1.080097,-1.8616362,-0.99777115,-1.464501,-1.536215,-1.7414911,-0.02847863,-0.790925,-0.40908808,-1.1055442,-1.7370086,-1.262796
-1.0660418,-1.3899667,-1.172949,-1.6716205,-1.3132266,-2.336426,-1.2444227,-1.2462761,-1.5023047,-1.2171128,-2.008896,-0.8321271,-1.5348947,-1.184794,-2.0853713,-0.8892147,-1.478799,-0.61309,-1.194904,-1.6684978,-0.4793468,-0.9201621,-0.83539474,-2.9371522,-1.2034445
-0.7849971,0.12699491,-0.44236606,-0.44787127,-0.2917323,-0.19880958,-0.2139741,-0.005373048,-0.61837197,-1.4196956,-0.16644435,0.16998872,-1.2634097,0.13027922,-0.9192239,-0.5240282,-0.113607,-0.727218,-0.27100673,-0.31621385,0.7464742,-0.5642748,-0.18171528,0.7580024,-0.66159195
-0.7452621,0.24568631,-0.8323686,-0.31287697,-0.17386283,-0.58504236,-0.089881905,-0.43384573,0.13962239,-0.40791097,-0.59090627,-0.6412174,0.039543543,-0.2694556,0.42885828,0.23763809,0.521008,-1.000438,-0.112491034,-0.5828332,0.533751,-0.07424661,0.19372954,0.6713832,0.16566116
-0.34685427,-1.127702,-0.8705187,0.13411327,-0.8677101,-0.8929155,-0.8960603,-0.36855674,-0.5503951,-1.3307777,-1.2657213,-0.8962782,-0.31307295,-0.06288638,-1.1994999,-0.8453151,0.070356,-1.02458,-0.559572,-0.06369098,0.041116,-0.3117903,0.3031905,-0.43781704,-0.36152628
-0.44375092,-0.30447677,-0.37884197,-0.6611725,-0.51744,0.31559357,0.22988618,-0.15974604,-0.9383996,0.54013956,0.14077333,0.30655074,-0.5119354,-0.24415674,-0.8695172,0.5084661,-0.6886,0.5910072,-0.09763372,-0.6298211,0.527896,0.9589251,-0.14757562,-0.2454283,0.022241395
0.46032143,0.875733,0.3502831,0.45177552,0.34968683,0.7681257,1.2476847,1.0902844,0.8077508,0.61217684,0.22299408,0.6635678,-0.014853753,0.3957199,0.7704425,0.22423423,0.242255,1.2861972,0.33278656,0.5236463,0.552835,0.3177059,0.38256842,1.1048124,0.48803443
-0.6536654,-1.2621149,-0.8770807,-1.542449,-0.64560897,-1.5287596,-1.2345965,-1.1316226,-0.5554662,-0.15441849,-2.0472052,-0.8753407,-0.98787374,-0.7036446,-1.1437075,-1.6840549,-1.455365,-1.65805,-0.8708068,-1.2660368,-0.965865,-1.1638696,-0.94152916,-2.4031163,-0.412671
-0.54248524,-0.9130158,-0.6568027,-0.55000216,-0.52452577,-0.40086207,-0.47455716,-0.24548239,-0.23288688,-1.6307418,-0.82088894,-0.58711935,-1.5221413,-0.60560525,-0.9480243,-0.3344267,-1.060744,-1.449012,-0.5221654,-1.0069887,-0.428257,-0.49894735,-0.14204143,-0.7413962,-0.58488715
0.013608632,0.2161656,0.3215562,0.89697665,0.118736744,0.590289,-0.25078332,0.15488319,0.28466877,1.3189414,0.7895241,-0.26655108,0.70895976,0.88094777,0.7082506,0.4372283,-0.198157,1.10801,1.1304466,1.0538484,0.35129,0.8910973,1.3674756,1.2693294,1.3781028
0.69923407,0.51586885,-0.63602764,-0.20722202,-0.45050713,0.87061906,-0.2501311,0.220909,-0.20418021,0.51901865,0.09561845,-0.2654323,0.05339678,-0.3835471,-0.19637051,-0.7287039,-1.16668,0.8561,0.4762297,-0.14397164,-0.64404,-0.627416,0.36831164,0.17715901,-0.18717455
-0.83361876,-1.6179589,-1.2968962,-1.3961918,-0.9996031,-1.1505501,-1.5692273,-1.0814047,-1.3843461,-0.7967303,-1.7974473,-1.2692576,-0.8833669,-0.73877454,-1.5319043,-1.4411571,-1.00851,-0.917785,-1.1951003,-1.6718119,-1.125177,-1.6295623,-1.5808257,-0.5785418,-1.7699105
-2.0645194,-1.7537081,-1.5392343,-1.3650858,-1.9319291,-2.2188094,-1.8820113,-1.9590722,-1.7450281,-2.1257325,-2.5434316,-1.9440743,-1.6121459,-1.7578843,-2.1234997,-2.0298765,-2.100642,-1.65703,-2.0372575,-1.9395738,-1.587078,-1.7540596,-1.6629671,-2.0237358,-2.3625088
-1.0408275,-1.4249824,-0.5907978,-0.15427694,-0.9594694,-0.5869456,-0.96846134,-0.569966,-0.70625085,-1.7378857,-0.26899523,-0.45027843,-0.84984255,0.17296621,-0.8309121,0.066303715,-1.082044,-0.8445,-0.40979832,-0.85618335,0.714547,-0.42564318,-0.63973254,-0.9658274,-1.3605797
0.6572172,0.2702878,0.8093624,1.3045417,0.98106164,1.5682842,0.8669485,1.4754784,0.9472036,1.347244,1.5551113,1.3060165,0.22239577,0.4882475,1.9085492,1.4573225,-0.03616,1.61713,1.1577169,1.4781948,1.58213,1.545269,2.289357,2.027263,1.6469494
0.09097876,1.5404574,0.3101463,0.08460604,0.33270183,0.48016006,0.983111,0.6494342,0.61515964,0.9657759,0.42691383,1.3173318,0.32496488,1.10893,0.48496285,0.8945769,0.40244,1.27744,0.26290575,1.1281642,0.507031,0.7390702,0.75169236,1.58753,2.0824933
-0.95664055,-1.251878,-0.22570828,-1.0173515,-0.68434126,-1.4416059,-0.45242167,-1.0467151,-0.42644107,-0.95320654,-1.1883961,-0.6412806,-0.6849656,-0.33675724,-1.2861648,-1.3502792,-0.20784,-1.1517711,-1.3408228,-1.6067674,-0.457831,-1.7327712,-2.2426453,-1.6072899,-2.0947686
0.11514987,0.36411217,0.26751798,-0.47789985,-0.4246156,0.108509846,0.058690936,0.59360636,0.09615795,-0.6285937,1.3048794,0.39696068,0.39999226,0.61485374,0.32505077,0.48339364,-0.24454,-0.6516202,0.0919621,-0.49429238,0.372968,0.15741752,0.25757647,-0.34589154,0.042191852
1.702537,0.9646751,1.5067396,1.5348736,1.7967937,1.6865256,1.6075755,0.97158,1.7388399,0.9406109,2.1017485,2.0291913,1.2945609,1.9552343,3.0113693,2.13295,1.83422,1.13957,2.7066999,1.8164899,2.136238,2.6640039,2.2252093,2.0144584,3.0233462
1.1461852,1.3589833,1.5084552,0.97369385,1.2125144,2.369341,1.4865452,0.99007285,0.9733714,1.5681093,1.3128049,1.1686533,0.95976067,1.3708011,1.3270825,0.4506071,0.323578,0.61318,0.9615846,0.29715052,0.3685518,1.1149004,1.4042093,1.8297722,1.0955281
-1.5301128,-0.28000495,-1.3924725,-1.529853,-1.0617428,-1.4211682,-0.9811998,-1.0349338,-0.8224276,-1.4885931,-1.0751596,-1.2744931,-0.9020373,-1.3787904,-1.4487295,-1.7692541,-1.910068,-1.769864,-0.8351413,-1.77206,-1.5928142,-1.5310119,-1.8169965,-1.6668753,-1.8231062
-0.6252383,0.74589086,0.7971451,-0.6961102,-0.4326572,1.0357475,0.58514506,-0.23445222,0.18580027,-0.08281407,-0.12178073,0.13229706,0.42593077,0.20764537,-0.4347859,0.8808273,1.025013,0.538466,-0.15959956,-0.63668484,1.34931,0.8407177,0.12939117,-0.036568437,0.02470864
0.45698735,-0.2005996,0.6168221,1.0731865,0.6868209,-0.47596142,-0.36233208,-0.08243736,0.035258498,0.07591619,0.5840006,-0.077598244,-0.725221,0.19214835,1.1535417,0.7219936,1.308401,0.176486,0.025133212,0.7549288,0.54107,0.04558252,-0.64408285,-0.83176715,-0.295922
-0.35878238,-0.5343156,0.13266382,0.49263552,-0.3502766,-0.9757591,-0.53689504,-0.8223573,-0.33691913,0.5770159,0.08658597,-0.03745094,-0.7387792,-0.23077667,0.32777965,0.07278051,-0.184668,-0.979083,-0.22332604,-0.09172891,-1.111158,-0.39705494,-0.71109605,-1.0196282,-0.56615407
-0.6507449,-0.3898053,-0.18558967,0.54346437,0.21510373,0.09517334,-0.4328319,0.057187334,0.21303687,-0.5772017,0.36139816,0.3493037,-0.05987092,-0.098226935,0.73703254,0.5682636,-0.54445,0.062099,0.1207808,0.54819686,-0.50449,0.43251005,0.33678484,1.4481673,1.3308818
-1.538149,-0.8933833,-0.501006,-0.4124282,-0.59009284,-1.5559989,-1.1717432,-0.8682134,-0.28280386,0.042901844,-1.4197215,-1.0168113,-0.19492868,-1.0511676,-1.4547831,-1.1550026,-1.398549,-0.8950796,-0.8807074,0.2057774,-1.702936,-1.0747714,-1.7037513,-0.9991845,-0.9465798
-1.3777708,-2.1432538,-1.2356861,-0.96838254,-1.0766926,-1.0484104,-1.3695238,-0.98331684,-1.0911621,-1.8862119,-1.4638229,-1.42032,-1.0884211,-1.0953519,-1.0292862,-1.0663543,-1.693109,-0.6687346,-1.02992,-1.0490856,-1.352821,-1.4803913,-1.6619836,-1.4425874,-1.0171219
-0.6802713,-0.19557998,0.15073128,-0.24556941,-0.765637,-0.25802693,-0.6676055,-0.79917735,-0.06829643,-0.76208425,-0.30443743,-0.6884868,-0.07397102,-0.54396,-0.80859304,-0.44946843,-1.59133,-1.028467,-0.6717008,-0.91136587,-1.221705,0.20789671,-0.55750287,-0.12701692,-0.63366127
0.07268453,-0.466215,-0.20269667,-0.6099253,0.43034765,-0.33718,-0.43940136,0.15382447,0.07595441,-0.5358416,0.5387979,0.7642457,0.3053212,0.7278742,-0.5829287,-0.005640221,0.16931,-1.07238,-0.14585811,-0.060705774,-0.00739,-0.033336334,-1.2675587,-1.3946304,-0.3906991
-0.67731214,-0.4812266,-0.59849275,-0.25382155,-0.4057493,-0.54983044,-0.20265575,-0.2693803,-0.9543834,-1.7407566,-0.8877925,-0.50814456,-0.8307853,-0.7458499,-1.114449,-0.22215066,-1.048143,-0.363318,-0.27506328,-0.21100515,-0.070663,-0.8819711,-0.6474108,-0.11839899,0.06917402
-1.5645928,-0.3373176,-0.2661058,-0.78494794,-0.967051,-0.7062044,-1.5564256,-0.6977913,-0.55615134,-0.46441007,-1.4361919,-1.1913536,-0.41238785,-1.2435659,-0.54353196,-1.0710313,-2.43551,0.032395,-0.50932485,-0.42891493,-0.77558,-1.163556,-1.0859358,-0.8344694,-1.2440829
0.038141664,-0.51384187,-0.7173409,-0.16873162,-0.24988429,0.11788909,-0.089266546,0.011399454,0.13060306,-0.16869788,1.1686149,-0.062092007,-0.34720084,-0.24420601,0.26165265,0.40177262,0.092144,0.6804377,-0.5288398,-0.0713876,1.0066317,0.12822454,-0.92751855,-0.74761546,0.56053877
0.35818684,0.7831796,0.62980175,1.1156675,0.9735705,0.62942136,0.67537076,1.1346262,0.49725103,1.885908,0.28995603,1.0638912,0.27774832,1.3501242,0.77283866,1.9659228,1.4213203,2.83944,1.4339049,2.4942935,1.9612768,1.8979883,2.2034018,1.8906427,1.9064943
2.0884257,2.5059917,1.6185361,1.6397779,1.4477266,1.6959386,2.1609159,1.5990801,1.0049607,1.9625303,2.7750037,2.045061,2.1967683,2.2884517,1.6621528,2.1735738,2.1376643,2.10368,2.2111404,2.3527592,2.694793,2.4474094,2.3809915,1.9244583,2.8338445
-0.2842458,0.027301494,-0.1000932,-0.6865209,-0.27462286,-0.68333376,-0.4339513,0.439044,-0.30853364,-1.3028966,-0.70281566,-0.44823992,-0.8422039,-0.95662296,-0.84718,-0.51358486,0.18284,-0.75748,-0.7827665,-0.85134745,0.05102,-1.0381013,-0.99687934,-0.927319,-1.4418938
-0.15078944,-0.43428963,0.07167243,-0.36297643,-0.5667135,-0.24093512,-0.4363382,0.009128198,0.11870234,-1.2698354,-0.40639815,-0.6419769,-0.1720423,-0.41374555,0.029901712,0.05104991,-0.5763,-0.245867,-0.4377305,-0.6922361,0.559244,-0.052487124,-0.7602986,-1.2056286,-0.4314045
0.9550238,0.84794045,0.85800726,0.99393255,0.7415074,0.9238801,1.1733183,0.8130575,0.4119582,1.6062449,1.2362388,0.823206,0.75653637,0.7461501,0.9139729,0.9476085,-0.41661,0.32371,0.7710245,1.6562162,0.898668,1.0712133,0.58492607,-0.025868522,1.0408633
-0.14991316,0.23647218,0.6993762,-0.41232765,-0.027054746,-0.24192608,-0.17103604,-0.36923552,0.033467826,-0.8427226,0.11137207,-0.061642602,-0.22533195,-0.22400087,-0.007635422,0.38152587,-0.35352,0.01127,-0.7036196,-0.5870399,0.5009059,-0.2349089,0.5597402,-1.2336514,-0.87877805
