S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
0.12999949,0.9915864,0.49053448,1.0300636,0.44497815,1.2083538,0.8275433,1.3380098,0.7594366,0.5416189,0.4723597,0.6128057,0.82427896,0.16531128,-0.045348537,-0.08952845,0.5079556,0.9881393,0.9879015,0.31042445,-0.029629596,0.3714619,0.13038545,-0.2879571,-0.75709677
0.11772866,-0.30397213,-1.1589538,-0.69553304,-0.006826828,-0.89345986,-0.6067778,-0.66994966,-0.587785,-0.16871092,-0.5272508,-0.58541924,-1.2570467,-1.425475,-0.9528249,-0.5325795,-0.5941852,-0.5730413,-0.9125684,-1.7711357,-0.54857857,-0.35733983,-0.9146062,-0.41629952,-0.5673418
-0.9909324,-1.0905025,-2.1517649,0.32297125,0.20524813,-1.0268166,-0.7282763,-0.42131457,0.7020661,-0.8317372,-0.15594425,-0.61697746,-1.6498129,-0.505295,-0.45125037,-0.5698987,-1.5637686,-0.1691212,0.38822493,-0.10595712,-0.69524265,-0.49256045,-0.20416643,0.24224296,-0.9227844
1.9406313,1.9689756,1.3312136,1.1244358,2.0650387,2.659311,-0.82900125,1.6715305,1.285324,2.17595,2.2179046,1.9950581,0.95933384,0.58086384,1.6484201,2.2182525,1.6877529,1.6949027,1.3925454,2.0657668,1.9094749,1.8025501,1.4254525,2.481746,1.7667236
0.78824795,0.04123871,-0.28660473,0.9374873,0.52166075,-0.47821042,0.45986283,0.54218424,-0.36874905,1.2903355,0.5387119,0.5381054,-0.6420794,-0.059675515,0.5235213,-0.54111845,0.40573883,0.5125121,1.2549472,0.65098536,-1.4226166,0.35232016,0.7717847,0.16179618,0.056758948
-0.24668385,0.46831152,-0.32097468,-0.17969084,0.20055907,1.2498674,0.27794704,0.501262,0.41619504,0.8750136,0.1429616,0.5803909,1.0960245,-0.53226936,1.3708434,-0.5236866,0.49001646,-0.37453288,-1.1177867,1.2247939,-0.0893665,-0.6524888,0.24710484,-0.20957275,1.1950537
1.5628148,1.3009944,1.8911198,1.3409834,0.880392,1.9041234,1.0485623,1.311082,1.0961894,1.0641602,1.2313131,0.6075304,0.852777,0.94981337,0.7432473,1.6047905,0.7248592,0.72530514,1.3540459,0.5563593,0.86907304,0.94029654,0.2563272,0.8413274,0.020872085
1.5251984,0.69513566,1.4613599,1.2980394,1.0219864,0.2293625,0.92083097,1.2355058,1.381812,1.2190069,0.43582264,1.4562988,1.2149624,1.4729267,1.5607358,0.431255,1.1559892,1.3658463,0.90725846,1.2054788,0.40129468,0.22129049,0.3880063,0.5847132,0.8793499
-0.63668454,-0.4200774,-0.32714376,-0.5978401,-0.053636205,0.18909684,-1.0134921,-0.37685317,-0.58940304,-0.66952926,-0.85155464,-0.18690437,-0.2236407,-0.5155231,-1.1643173,-0.53850896,-0.92464966,-0.69754136,-0.34908286,-1.1105365,-0.893214,-1.3161889,-0.54127837,-1.3051492,0.21395718
-0.6790147,-0.82693494,-0.35900992,-0.00988041,-0.5850939,-0.0970784,0.98495496,-0.15186298,-0.026798998,-0.57645476,-0.29721197,-1.2800909,-0.5940677,0.3707933,-0.4923313,-0.9373197,-0.39182132,-0.3968987,-0.17282988,0.13329265,-1.7813258,-1.1833483,-1.2901309,-1.1232604,-1.1278393
-0.90002966,0.50861747,1.5887672,1.1250969,0.54278183,-0.51629556,0.333349,-0.13848575,0.3874662,0.4087387,0.2917285,-0.8918189,0.90429175,-0.6479186,-0.10450004,-1.0731844,-0.084941365,-0.58375037,-0.76716125,-1.0951972,-0.51638264,-0.73749465,-0.007357997,-0.9205562,-1.7747457
-0.28236243,-0.85692746,-0.96203304,0.08413376,0.04645475,0.53485346,0.17603064,-0.098378636,-0.39478874,0.05363575,0.62345654,-0.021179095,1.349766,-0.40326756,-0.49596158,-1.0234287,-0.56787485,-0.69184614,0.15646853,-1.1564669,-0.31384164,-0.7289159,-0.6046465,-1.1682278,-0.5902005
-1.2490016,-1.5501939,-2.1920183,-1.9425688,-1.5257365,-1.1354257,-0.91944325,-2.011313,-1.2001226,-1.0681715,0.119635016,-2.035131,-1.6093857,-0.528642,-1.7253237,-1.581962,-2.7763148,-0.86321694,-1.019723,-1.9665736,-0.95769054,-1.5828008,-1.1432071,-2.405467,-1.3917124
-2.86712,-1.594655,-1.9033195,-0.96231664,-1.5397959,-1.140435,-2.8952163,-1.9019945,-1.922542,-1.5129247,-0.99163795,-1.4350013,-2.1852255,-2.1023026,-1.1857271,-2.0190327,-1.3655094,-2.2505067,-0.43458527,-2.0873437,-0.30655837,-0.8982757,-1.0662149,-0.8948595,-2.258688
