S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
0.12999949,0.9915864,0.49053448,1.0300636,0.44497815,1.2083538,0.8275433,1.3380098,0.7594366,0.53429,0.4723597,0.6128057,0.82427896,0.16531128,-0.045348537,-0.08952845,0.5079556,0.9881393,0.9879015,0.346419,-0.029629596,0.3714619,0.13038545,-0.2879571,-0.75709677
0.11772866,-0.56188214,-1.4103627,-1.3115304,-0.111943826,-0.19457288,-0.6365148,-0.9973896,-1.643305,-0.94585,-0.81481785,-0.58541924,-0.99260635,-0.514145,-1.1658449,-0.31703046,0.24929382,-0.1605513,-0.53840566,-1.340594,0.001911441,-1.6446198,-1.2420462,-0.050546524,-1.9791918
-0.9909324,-0.8486025,-0.891965,0.90070427,0.29340515,-0.25885466,-0.36100128,-0.5829946,1.5814262,-0.4104,-0.114736244,-0.18039745,-0.38280097,-0.89444495,-0.09649037,-0.19559145,-1.0657296,-0.9857612,0.34911793,-1.6203806,-0.23476264,-0.23326044,-0.36584643,0.41883296,-0.6419414
1.9406313,2.5372155,2.1005426,-0.33733422,1.9336487,2.7519613,0.7709587,2.0884106,0.99000395,0.91906,2.0321145,1.584761,2.110745,1.3171239,0.9559701,1.5410069,1.5972805,1.6273427,0.6807453,1.977101,1.1739779,0.63031006,1.8423325,1.672486,1.1961036
0.78824795,0.3926317,0.34926525,0.95170635,0.6384487,0.018185582,0.46115282,0.9234943,0.75004095,1.72829,0.27271187,0.31161043,0.6454016,0.40011448,0.8510613,-0.8931485,0.20426482,0.7863721,1.0485232,1.602086,-0.4512116,0.9883302,1.1530947,1.0348812,0.49657893
-0.24668385,0.31998482,0.16005932,1.1547141,0.89886505,-0.10378928,0.108297035,0.745752,0.74458004,1.32367,0.052171603,0.19635087,0.48923987,0.6698307,1.9948135,-0.021125619,0.54214645,0.22535713,0.8783534,1.493546,-0.5174065,-0.22539883,0.49159485,0.92752725,-0.052901324
1.5628148,1.6078814,1.0021359,0.74762345,0.989031,1.2224374,1.0071423,1.350418,0.79198945,1.565003,1.0063411,0.96153045,1.0815071,0.6083534,0.98778725,1.0329055,0.8191712,0.6571751,0.87178594,1.635392,0.07153303,-0.33053347,0.2956632,1.3180174,0.41230208
1.5251984,0.76148564,1.7668369,1.9014925,1.0857414,0.4461335,1.158911,1.3142408,2.277435,1.478068,0.55404264,0.8078988,0.60024137,1.1573668,1.5424209,0.9322213,0.90522546,1.4622563,1.9383484,1.0137084,-0.49617532,1.0925635,0.4667413,0.9312732,1.6414229
-0.63668454,-0.4429484,-0.35864115,0.09068995,-0.2643822,0.09734384,-0.18343507,-0.27783215,-0.485823,-0.769498,-0.57009316,-0.8206444,-1.0769158,-0.065173075,-1.2138742,-0.40133893,-0.5976212,-0.82724137,0.29623714,-1.7012631,-0.67668897,0.17965305,-0.44225734,-1.6882392,0.64633716
-0.6790147,-0.7405899,-0.04943093,-1.2523297,-0.4057539,-0.2629584,-0.747165,0.087677025,-1.0457484,0.02491,-0.965882,-0.6869909,-0.62261796,-0.6134767,-0.4026333,-1.1636597,0.71152866,-0.7618807,-1.2713618,0.31128,-1.2634989,-1.2849057,-1.0505909,-1.4140904,-1.3884633
