Timeser0,Timeser1,Timeser2,Timeser3 
 
-1.097385,-2.1738463,0.24284,-1.402106 
2.542235,-1.52536515,0.852875,0.444648 
1.370957,3.48286195,-1.580815503,1.309287 
2.103718,1.85079195,-0.079312076,1.003748 
0.245739,2.8400193,2.861803702,1.771895 
0.131859,0.33911982,0.716729666,2.138309 
-1.305438,0.17669106,0.350401158,1.283798 
2.721368,-1.74928692,0.224085577,2.329805 
0.870611,3.78270152,0.347856507,0.485082 
1.699843,1.20144318,-0.887065021,-0.117335 
0.26581,2.27778962,1.20132941,1.151747 
2.494918,0.3694759,0.960938067,0.628272 
2.527721,3.44298684,2.161676969,-1.442379 
0.716247,3.36186893,0.264979457,-0.848433 
1.141364,0.99558333,0.662018158,-0.66245 
2.681128,1.58649596,0.280856068,1.126661 
0.443394,3.6195228,1.155671663,2.016855 
1.717139,0.60301584,0.465569273,1.118502 
-0.337315,2.30096626,3.582351432,2.7477 
1.668473,-0.46886785,0.33075396,0.201598 
0.853473,2.28580801,0.318057976,2.07635 
-1.122999,1.14365382,-0.19509428,2.046333 
2.095049,-1.50481866,0.568587362,1.065557 
2.780511,2.87021713,1.335090358,2.81861 
0.711438,3.86491029,-1.144240421,-1.290135 
2.415403,0.96755568,0.897554283,2.671024 
0.288568,3.21248599,1.146227573,-0.896793 
1.038213,0.38668112,0.644426726,2.980847 
2.731745,1.40158755,0.597623179,1.944735 
0.762217,3.63322085,0.435209539,-0.660298 
2.116232,1.04423729,0.376222257,0.691774 
0.801794,2.89923784,1.088305213,-0.90616 
-1.400419,1.09845778,0.921408476,0.369825 
0.632043,-1.94658241,2.35442838,1.366531 
2.225973,0.84693762,0.959905024,1.783493 
1.336914,3.09410247,-1.688719114,2.843623 
-1.103393,1.79146476,0.696631948,1.020219 
0.494209,-1.50061448,2.036461482,2.83596 
-0.03046,0.67212424,1.487769275,1.841881 
-1.367036,-0.0408164,-0.510282661,0.221889 
-0.956585,-1.85916896,0.549668332,1.261281 
0.916085,-1.32965315,0.150204028,0.247395 
2.27598,1.21839305,-0.898317997,1.456725 
2.214115,3.1180926,-0.990094772,-1.133756 
0.406534,2.9669141,1.020691205,0.011691 
-0.667269,0.54069022,2.799197784,2.002645 
2.663753,-0.90081315,1.455773063,-0.484153 
-1.117777,3.67597914,0.569296958,-0.249882 
-0.37812,-1.55371003,-0.18032526,0.127712 
0.153561,-0.5180244,0.216759791,0.131465 
-0.371189,0.21344979,-0.596855015,0.513943 
0.644954,-0.50110515,-0.032390004,-0.551361 
