0,1,2,3,4
-0.92957,-1.9871,-2.601,-1.9344,-0.89692
-0.468,-0.22729,-1.7013,-0.52046,-1.4791
-0.70584,2.7298,0.33141,-1.2066,-2.1882
1.2871,1.9807,1.7316,0.99188,1.0856
3.0389,1.9811,-0.31255,-0.12442,0.94411
-1.2298,-3.3262,-1.9646,-0.50385,3.4984
-4.2744,-2.575,0.38341,-0.059809,1.6535
1.8245,1.4549,1.2913,4.8489,1.4363
5.295,0.12269,0.82043,2.5263,0.24205
0.89603,-1.0173,-0.74114,2.7463,0.92097
-5.1656,-0.046945,3.3121,4.0886,-0.47719
-0.39094,0.59014,5.7497,1.4716,1.9214
4.1056,1.6711,4.027,0.27686,0.105
4.4209,0.89951,2.2757,-1.5095,-0.21402
-0.032723,1.7014,1.8884,-3.4687,1.2095
-3.1097,1.9745,1.3,-2.3476,2.4894
3.022,1.6388,-3.3101,-2.6766,-3.3739
-0.25195,-0.023818,-2.5885,-2.461,-0.96096
-1.546,0.8906,-1.8969,-3.132,0.55144
-4.4526,0.7787,-2.9559,2.143,-0.67072
-0.0072656,-5.9639,-4.6011,-2.1492,-7.2799
0.42078,-2.4714,-1.2497,-4.4585,-0.61971
-0.57299,-4.3276,-3.2013,-1.2265,-0.15576
-4.9548,-2.6833,-2.8907,-0.081722,2.3464
-2.0947,-1.856,-1.0243,0.97398,-1.9019
3.7635,-0.070842,0.37853,0.28928,-3.9406
-1.1924,-0.65127,0.66535,0.47584,-0.24628
-1.4887,-1.5691,4.7747,2.1137,-0.43541
3.3544,0.90636,3.2759,1.3594,5.8903
4.1372,2.3217,-1.2763,1.1392,-0.25525
2.5111,2.6706,2.8842,1.097,-0.64833
2.2177,4.2239,2.4593,0.43386,-2.3932
-2.1256,3.6946,-1.7683,4.6592,2.5078
-4.062,2.5332,0.094442,1.4456,0.76959
-3.8253,2.2381,-0.201,1.9447,-1.1555
-3.4868,-0.1721,1.9527,-0.0084679,0.097027
-1.2861,-3.1469,2.7535,2.5923,2.0972
-0.77344,-1.6696,-1.4433,2.7059,1.7137
0.1176,-2.4925,-2.7366,-0.58062,-2.2793
0.015406,-0.56297,-3.9174,-2.9145,-2.7861
-0.74559,0.016792,0.60609,-3.7204,-1.5003
2.9309,-0.053482,3.0004,-1.0951,3.8255
0.94674,-2.0603,-3.3549,-3.2427,1.1972
-0.29047,-0.74736,-3.4735,-5.3591,-3.8342
1.7041,0.0037911,-0.96393,-0.28879,-2.3536
0.38912,4.614,0.25032,-0.62414,0.63215
1.5278,2.9305,0.10719,1.4313,2.5083
1.7916,1.3264,-0.03706,3.4888,3.6435
4.4864,3.3493,1.4127,1.462,5.4157
4.5779,-0.66545,-0.45533,-0.29034,0.49817
0.96464,-3.8883,2.638,-0.60616,-2.2663
2.1822,0.31175,2.5358,-1.1768,0.74355
-0.20068,-2.6306,-3.7198,-1.1999,-0.21127
-2.7961,-3.0531,-1.8396,-1.6038,-0.90866
0.11566,-0.80121,4.1946,4.5687,1.0399
-0.27937,0.38301,4.0227,-0.13023,0.71976
-0.79654,-1.1632,-2.9009,-2.7603,-1.5901
-2.2242,-1.5688,-3.9105,-1.139,-2.1135
-1.3772,0.029649,-1.2995,-2.5744,0.78809
-0.98109,-1.1282,2.5895,0.32654,1.9137
2.2749,0.35863,2.4457,3.1876,2.3332
0.086407,1.4271,-0.68716,2.298,3.2137
-2.0297,-0.11839,-2.0834,-1.6638,-2.3136
-0.64114,0.76874,-0.8028,0.51123,-3.0592
1.1109,2.9745,1.3135,-0.0088977,-1.3339
2.0195,3.6735,1.0412,0.22187,-0.2523
2.7621,6.4726,1.6019,1.4814,1.1584
0.17734,3.9325,1.395,2.5326,0.62955
-5.4217,0.93555,2.8264,-0.29415,0.79515
-1.335,1.2891,-0.24051,0.63131,0.21796
-0.050549,-3.5967,-0.86996,-0.16555,1.9244
0.31781,-2.8013,2.1466,2.5013,3.5059
-0.82231,-2.522,5.1642,5.0211,4.03
0.1058,-3.0875,-1.8959,1.2313,-2.1417
1.0746,-0.077017,-1.0714,-1.0615,-5.8004
2.2039,0.99955,4.276,-1.091,1.0968
2.8197,0.055252,4.2402,0.76713,0.79854
1.09,-0.86267,3.8775,1.4643,4.5988
-2.7989,0.62608,0.94838,2.1881,0.77295
-4.1532,0.97675,-4.918,-1.5635,-1.0349
3.5023,-1.7523,-4.1284,-3.7852,0.79323
1.1922,0.98538,-3.4189,-3.4374,-0.97209
-1.5636,-0.34612,-1.0691,-0.96857,-3.8874
-1.9368,-3.355,-0.39382,0.81226,-2.8511
-1.3516,-2.6278,-0.9089,1.2844,-0.19833
2.028,-0.89299,-3.6775,3.5243,-0.31433
3.8741,0.54328,-1.3949,0.24325,-0.10871
-0.52769,-1.4525,1.937,-1.7067,-4.684
-3.8786,1.9906,4.309,-1.5292,-1.1036
-1.6299,1.7176,1.7439,-1.0003,-1.2259
-1.6403,-1.5307,-3.163,-0.38641,-3.0318
1.4756,-2.4897,-3.3425,-1.7062,-0.092717
3.3057,3.1007,-1.071,-1.5422,0.10554
1.9819,3.4962,-2.0661,-2.6033,0.96597
-2.4791,-2.4814,-1.6773,-1.5107,-1.6163
-3.9807,-0.73974,-1.7776,-1.0005,-0.097654
-2.5291,2.0465,0.36561,-0.07887,1.2016
1.419,-0.75404,4.136,3.4161,0.46226
1.1602,-1.0304,2.6041,1.8385,2.6972
-1.1381,-1.2185,-5.084,-2.4772,-0.45037
