0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-1.1286,-1.6045,-1.5858,-0.55606,-3.3984,-2.9349,-1.7012,-2.463,0.87164,-1.2692,-1.3391,-2.5062,-2.3507,-1.5468,-2.9286
-3.037,0.1399,0.13924,-1.0448,0.98885,-1.3364,2.0009,0.30343,1.8451,2.2388,-0.98808,-1.1967,-2.7796,-0.024247,0.087291
0.70024,-1.2196,-0.090679,0.049771,-1.1965,3.0331,4.5356,2.8958,2.2859,-0.13719,1.3588,-0.28633,0.057951,0.92935,0.679
1.2941,-0.44652,-0.24529,-0.52208,-0.14817,4.6198,3.3829,1.7977,1.7175,1.7719,-2.116,2.4537,0.19193,-1.2078,-0.95643
3.4202,0.00034401,-0.37231,0.12828,0.96401,5.4484,-0.6553,-0.1869,-2.4365,1.9165,-1.6253,-1.9564,-0.73735,1.0506,2.0307
-1.4271,-0.10916,3.3047,3.2915,0.40404,-2.6766,-4.5913,-0.40878,-2.5678,-1.9656,0.37872,-0.38109,2.8617,3.41,0.55614
-2.5408,-0.81575,1.5597,-1.804,0.65118,-6.539,-6.1929,-0.70029,-3.6573,-2.524,1.1945,0.067683,1.1716,-2.4165,-2.3912
3.0376,1.5802,-1.8478,-0.7703,0.051902,1.3528,-0.88101,-4.2079,-1.6094,-2.0667,0.2327,0.51358,-2.1644,-2.6981,-1.9428
5.4081,1.3755,-1.8703,-0.70655,0.56426,-0.090214,-1.6558,-1.3842,-1.3826,-3.0303,-0.03595,-1.156,-2.568,0.93059,2.9769
-0.62266,0.63508,0.23391,0.58379,3.2846,-1.0857,-1.4963,1.6575,1.3566,-0.80229,-1.514,1.1372,1.4117,-0.18627,-0.99789
-3.4402,2.4679,0.16767,4.2526,2.5941,-2.0746,1.5215,1.0817,3.3419,3.0483,0.82652,2.4768,1.4737,-1.7367,-1.3036
0.091757,3.3339,-0.46037,3.1437,2.6643,1.2231,2.6849,-1.9581,4.1824,2.8412,2.1279,4.955,0.67389,-0.0076366,2.6502
1.9935,5.187,2.4881,-3.0604,-1.0525,0.18133,1.4642,0.86734,2.6377,1.0516,7.046,2.1592,2.5166,1.4592,3.1704
3.009,2.3257,0.86006,-2.02,-1.8324,1.1276,2.9002,1.3183,0.92632,3.136,3.0048,-0.98061,1.4541,1.8673,0.7668
-1.9677,1.8754,4.3491,1.2717,-1.0371,4.9622,0.77171,6.4367,-0.81754,2.508,-3.0815,-1.0644,3.5427,3.0127,5.2711
-2.3638,-1.1324,1.7169,3.1179,1.0458,-3.088,1.8259,2.6473,-0.77958,0.23638,-4.488,-2.1384,4.8581,0.49597,1.7419
2.5896,-2.6412,-2.8664,3.7257,1.2102,-4.1794,-1.5709,-5.1065,-3.3771,-0.16756,-1.3185,0.088921,-0.26812,0.27026,-6.0364
-2.2946,-4.9661,0.5201,0.32614,-2.818,-0.85605,-3.1775,-1.1161,-4.0734,-1.7083,0.90378,-0.44958,0.56882,0.039513,-1.8366
-3.2997,-1.6487,1.2311,-1.7095,-1.3408,-0.29373,-1.2985,4.7278,-0.51397,-0.20366,-0.34427,0.61319,2.3656,-1.0319,1.7531
-1.4023,-4.8356,-2.8829,-3.813,-2.1908,-0.66873,-0.26077,2.6422,0.7233,1.9474,5.0598,0.28437,0.14865,-0.11206,4.064
1.2084,-2.7737,-4.3629,-5.7264,0.68595,0.36531,0.67862,-1.3227,-3.3399,-2.4576,4.693,1.8732,-1.0486,0.36855,1.0021
4.1818,-0.2386,-2.2268,3.9207,3.2295,-0.64157,3.2165,-6.1337,-2.0385,-4.9888,0.30296,3.9169,-0.84907,-0.13865,-2.1846
-1.8558,-1.3513,-0.24212,0.14468,-2.9538,1.0237,-1.7524,-1.6859,3.7703,-0.70695,-2.5852,4.1337,-1.0092,-2.1125,-4.2968
-4.634,-2.5401,2.9306,-1.5049,-3.1787,4.1214,1.1826,3.8961,4.8387,4.865,-4.2631,1.0715,0.42445,1.9914,4.2505
-0.92362,-0.94548,-2.0363,-2.6056,-2.3571,5.9868,3.9977,1.5352,2.9804,0.69187,-1.5591,-3.2581,-0.073205,-0.67085,3.135
2.2456,0.33593,-3.2697,-1.2814,-0.36266,2.0071,2.1587,-4.8906,0.4309,-0.32116,-2.6811,-4.1565,-3.0855,-1.7726,-0.085799
-1.477,2.1781,-1.7044,-1.1844,-2.0189,-5.956,-1.9601,-3.5831,-0.59273,-0.91304,4.3586,0.040296,-2.9379,1.1279,-0.28074
-1.0838,4.9236,1.8089,-0.89201,1.5297,-3.0491,-1.6617,0.67528,-0.013686,-2.2631,3.1143,1.2512,-0.10208,4.1775,1.4683
3.4308,3.0751,5.2518,2.0188,5.9929,1.3829,0.16832,0.21882,-3.3268,-0.65485,-1.6961,-1.8136,-0.9909,1.8087,-1.9145
4.3744,-0.7725,1.7585,0.5841,0.77756,4.8908,5.4944,5.6075,-2.5371,-0.31455,-5.6213,-5.4664,-0.15782,0.44633,-3.7154
3.5463,1.6286,-2.1977,-1.5949,-2.2915,1.775,2.336,-1.3504,-0.8816,-0.46436,0.47495,-0.76785,-0.86778,-0.51268,0.078489
0.43935,1.6609,-2.3393,-0.78941,-0.27126,-4.9298,-4.1033,-2.9259,-3.3533,0.33957,0.1653,-0.92268,0.91992,1.0055,-0.92494
-4.4449,-2.0962,-1.2234,-0.92485,-1.1569,-1.5402,-5.3232,-0.2912,0.37711,-1.2582,4.776,-0.065941,-2.88,1.1161,-0.9604
-4.3886,0.24994,-1.9783,-0.90808,3.0054,1.5818,-0.49768,2.2533,2.8356,-0.42808,2.5366,-1.437,-1.5819,-2.7447,-2.1121
-2.388,-1.9803,-1.7145,-1.9271,-0.74372,-0.49265,-0.90529,1.1811,0.85242,0.57652,0.86737,0.26743,-1.1916,-4.6834,-0.026576
-1.9908,0.69132,-0.10576,0.33178,-2.7678,1.0272,-4.1164,-3.6028,0.28256,-3.0542,-6.0432,-0.79087,-0.29162,-1.6101,1.3673
-2.1016,1.5997,1.3458,0.48108,-0.45342,-0.15028,0.77401,-4.9661,-0.79135,-0.66348,-5.0149,-1.1018,-0.26377,-0.30228,-2.1849
-1.0769,1.2398,0.93891,0.66565,-0.97905,-1.9282,-0.48174,-0.53671,-3.3206,-1.3536,-1.3757,-3.0434,-3.8977,-2.0901,-5.619
