0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-1.9256,-2.0451,-1.4486,-2.8112,-0.48911,-0.69175,-0.9235,-3.2249,0.76176,-0.41421,-2.8045,-1.775,-3.9939,-0.64338,-1.8324,-1.5967,-2.3016,-2.8712,-1.2171,-1.7568,-2.3287,-2.5541,-3.6677,0.46557,-2.3855,-0.043294,-1.4255,-3.5702,0.63464,-2.2006,2.0336,0.9024,-2.6454,-2.6284,-0.76176,-2.0695,-0.95569,-4.2388,-1.4579,-3.5133,-1.175,-1.0873,-2.757,-2.0904,-1.1733,-2.0055,-1.3613,-2.5509,-0.7934,-2.3551
-0.65154,-2.8487,-1.957,-1.1983,-0.40468,0.49504,2.6162,2.2764,2.5243,2.0109,-1.4587,-1.9063,1.3098,0.39206,-0.8222,-0.35828,0.50858,-2.3611,-1.7521,-1.1308,3.5658,1.7991,-2.8703,3.5879,3.0789,-0.88653,-1.2088,3.461,-0.052186,-2.0743,-0.76272,1.3652,-1.9135,0.96831,1.4627,0.63756,0.29634,-0.25717,-1.7979,0.0071414,-1.1751,1.7026,-0.43498,-0.57674,-1.9158,4.2416,1.167,0.057189,-0.56403,-0.80022
1.4021,-0.74847,-0.62277,-0.47353,1.2653,1.6419,3.7092,2.0277,-0.42626,-2.9414,0.088438,-1.7605,0.22298,1.4446,-0.43746,-0.57555,-0.85201,-0.036098,-0.36947,0.13599,-0.55154,2.0493,3.1085,0.8542,0.31186,-0.96635,-2.4491,3.5422,1.7542,0.85317,-0.40654,-0.8512,1.4512,-0.46262,-0.79985,3.271,1.136,0.48236,-0.002284,2.7476,4.8768,0.75794,-0.89788,-1.8273,0.89387,2.7695,3.2212,3.1053,1.7084,0.36819
3.4441,-0.6839,0.31395,-0.11464,-2.796,3.9594,3.204,1.6847,-0.16718,3.4918,-0.12049,-1.3244,-0.4713,-2.5046,0.95785,-0.17414,1.2918,1.3927,-1.1226,-2.129,-0.86664,-3.6154,1.9644,-2.811,-2.0549,-0.38001,-0.076296,-2.1214,0.2232,1.3169,-2.0555,-4.0058,-1.4344,-2.6862,-1.6003,0.53402,-0.90051,-1.0174,0.45693,-1.813,0.62952,1.5549,-0.6976,-0.42829,0.97831,-4.0829,2.3537,-0.32788,0.23329,-0.025527
1.8318,0.7459,0.27477,0.010715,-0.57339,3.0055,-1.3564,-0.68419,-1.6762,0.79641,0.26318,-0.78625,0.31817,3.1074,0.78305,-1.7476,1.7688,2.4148,1.7192,-0.93154,0.34686,-1.9002,-0.11764,-3.6528,1.9768,0.12413,-0.98698,-2.5194,-1.5266,-1.1286,-1.5339,-1.5121,2.4001,1.1744,2.6926,-0.38217,-3.7411,-0.22121,4.1513,0.39453,-4.612,-0.9503,-1.5211,-0.94303,-4.2613,-0.063036,1.3994,-0.49377,-1.2309,-0.58058
-1.6396,-0.93648,3.2081,1.9034,0.10637,-0.86112,-2.9413,-1.1667,-2.1396,-1.9207,-1.1006,0.749,-1.5353,-1.0013,-1.0387,1.7006,0.37202,0.622,0.13413,-0.080137,-1.2128,-0.020991,0.57322,2.0389,0.20977,-0.59086,1.079,0.42843,-1.7157,-0.61986,1.3383,-0.5651,3.3431,1.225,-0.62331,-2.7996,-0.87053,0.80721,2.2789,1.2217,-0.44861,0.32036,1.3371,3.4871,1.0304,0.21473,-0.81213,-1.0539,-1.8373,0.44997
-2.4963,0.17316,1.4774,1.7484,-0.73476,-4.1919,-4.1513,-0.65704,-1.1169,-1.8834,1.7461,0.08759,0.14396,-3.952,1.129,-1.673,-2.5659,-2.0701,-0.86985,-1.1257,2.8552,2.0185,-1.8073,3.2599,1.8097,0.25303,2.2805,1.4541,-1.4881,-0.86128,0.58547,0.39939,2.7385,3.518,0.13657,2.469,1.1647,2.7105,-4.1761,1.3974,0.0078593,0.029894,4.1262,3.5137,1.6774,-2.9648,-5.3086,-0.039065,0.43011,-0.12196
2.2393,1.1227,-1.7541,-1.1421,-0.24542,-3.0507,-2.7806,-3.1485,-1.5321,-3.8101,2.7995,0.93319,-0.798,-0.40408,-2.6553,0.71943,-1.4363,-0.84429,-1.5458,-0.7021,0.61449,-0.48187,-1.6247,-2.1353,-0.97436,4.0311,3.5621,1.7234,0.33376,2.649,-0.24697,0.26935,2.1574,2.0265,0.38674,2.2461,2.6232,2.4463,-2.9599,2.0176,-0.99539,-0.43595,4.9767,2.2327,0.92285,-1.3342,-3.0549,1.0087,-1.8641,-0.55409
3.6884,3.1628,-0.83627,0.22286,3.197,-1.7619,-2.5425,-2.0906,-2.2374,-0.74355,1.9722,0.72683,0.52376,2.8751,0.58537,2.6051,-0.39257,-0.14339,-0.78874,0.67784,-1.8083,0.608,-0.81966,-1.3484,2.8769,0.87929,-1.0319,-2.3678,0.22868,-0.22257,0.10606,-1.3078,-2.2279,1.1638,0.67276,-2.4155,2.9091,2.1061,1.3476,0.28126,1.1792,2.2589,1.8323,-1.0184,-0.39701,2.366,-0.39564,0.31408,-1.0974,0.60329
-2.1265,1.2201,1.5736,0.919,2.0524,0.83767,-1.9963,-1.687,-0.072467,1.3791,-0.74415,0.29799,0.19134,-0.57587,-0.9814,1.5207,-0.1455,0.034061,0.83071,1.4797,-0.9514,-0.32641,0.61437,-0.056693,2.7359,-2.1384,-3.1268,-1.3453,-0.086639,0.8506,0.67879,2.2536,-0.2356,-0.28487,2.1195,-0.49166,-0.60709,3.6198,3.7748,-0.71473,0.091807,2.1387,5.3832,0.82396,1.3118,0.18894,2.7645,1.4666,1.5481,4.5718
